message,category,label_subtype,contains_link,suspicious_words,sender_trust_score,link_reputation_score,language_type,ai_generated_score
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.03,1.0,English,0.55
your order 2296 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.28,0.28,English,0.75
your order 5773 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.52,0.91,English,0.78
security alert we detected suspicious activity. call phone or visit http://phish-4.co,scam,Tech Support,1,,0.27,0.28,English,0.99
limited deal buy 1 get 1 free on amazon. don t miss out,promo,General Promo,0,"free, limited",0.45,1.0,English,0.5
you won a 80 chroma gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.36,0.02,English,0.71
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.18,0.11,English,0.57
hey bro kal party h na milte hain 7 baje.,ham,Personal,0,,0.86,1.0,English,0.05
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.83,1.0,English,0.24
urgent update your sbi kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.24,0.03,English,0.54
click here to claim your free cruise ticket . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.33,1.0,English,0.66
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.1,1.0,English,0.67
your order 3207 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.51,0.59,English,0.94
flash sale get 70 off on chroma today shop now: https://secure-site.com/4,promo,General Promo,1,sale,0.59,0.97,English,0.9
hey bro kal party h na milte hain 10 baje.,ham,Personal,0,,0.97,1.0,English,0.02
hi i am david. i think we should meet. view my photos: http://phish-3.co,scam,Relationship Scam,1,,0.19,0.13,English,0.56
your order 3207 is stuck. confirm payment details: http://phish-4.co,scam,E-commerce Scam,1,,0.37,0.1,English,0.96
your paytm account has been frozen. verify immediately at http://phish-3.co,scam,Bank Scam,1,"account, verify",0.21,0.29,English,0.58
prize of rs. 500 awaits you just deposit rs. 500 processing fee.,scam,Prize Scam,0,deposit,0.33,1.0,English,0.61
doctor s appointment confirmed for tomorrow at 7.,ham,Service Update,0,,0.82,1.0,English,0.18
urgent update your hdfc kyc now: http://phish-0.co,scam,Bank Scam,1,urgent,0.31,0.23,English,0.67
your icici account has been suspended. verify immediately at http://phish-4.co,scam,Bank Scam,1,"account, verify",0.31,0.18,English,0.76
hi i am sophia. i think we should meet. view my photos: www.verify-now.net,scam,Relationship Scam,1,verify,0.32,0.23,English,0.89
urgent update your sbi kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.16,0.24,English,0.59
your order 2296 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.49,0.96,English,0.75
doctor s appointment confirmed for tomorrow at 10.,ham,Service Update,0,,0.75,1.0,English,0.05
your order 9487 is confirmed. track it here: www.official-track.com,promo,Service Update,1,,0.67,0.57,English,0.67
you won a 500 amazon gift card. click here to claim www.verify-now.net,scam,E-commerce Scam,1,"click, verify",0.03,0.3,English,0.78
click here to claim your free netflix gift card . limited time offer,scam,Clickbait,0,"click, offer, free, limited",0.18,1.0,English,0.88
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.8,1.0,English,0.26
congratulations you won the iphone 15 lottery confirm delivery: http://phish-3.co,scam,Clickbait,1,congratulations,0.03,0.29,English,0.86
your order 2296 is stuck. confirm payment details: http://phish-1.co,scam,E-commerce Scam,1,,0.16,0.03,English,0.68
urgent update your icici kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.02,0.19,English,0.75
new job discount earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,,0.42,1.0,English,0.6
urgent update your paytm kyc now: http://phish-2.co,scam,Bank Scam,1,urgent,0.08,0.16,English,0.82
you won a 500 amazon gift card. click here to claim http://phish-2.co,scam,E-commerce Scam,1,click,0.07,0.27,English,0.91
congratulations you won the iphone 15 lottery confirm delivery: http://phish-2.co,scam,Clickbait,1,congratulations,0.25,0.25,English,0.61
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.62,1.0,English,0.55
are you coming to class today reply soon.,ham,Personal,0,,0.85,1.0,English,0.25
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.87,1.0,English,0.22
congratulations you won the iphone 15 lottery confirm delivery: http://phish-0.co,scam,Clickbait,1,congratulations,0.17,0.23,English,0.79
your order 9487 is confirmed. track it here: https://secure-site.com/1,promo,Service Update,1,,0.72,0.89,English,0.93
new job offer earn 5000 weekly from home. reply yes to apply.,promo,Service Update,0,offer,0.52,1.0,English,0.67
your monthly bill is due. pay before 30th to avoid interruption: https://secure-site.com/3,promo,Service Update,1,,0.69,0.84,English,0.87
congratulations you won the iphone 15 lottery confirm delivery: www.verify-now.net,scam,Clickbait,1,"verify, congratulations",0.3,0.25,English,0.55
security alert we detected suspicious activity. call phone or visit http://phish-3.co,scam,Tech Support,1,,0.19,0.29,English,0.57
limited discount buy 1 get 1 free on flipkart. don t miss out,promo,General Promo,0,"free, limited",0.51,1.0,English,0.96
tum kab free ho mujhe milna tha aapse.,ham,Personal,0,free,0.71,1.0,English,0.03
new job discount earn 80 weekly from home. reply yes to apply.,promo,Service Update,0,,0.62,1.0,English,0.83
urgent update your hdfc kyc now: http://phish-1.co,scam,Bank Scam,1,urgent,0.09,0.22,English,0.55
