message,category,label_subtype,contains_link,sender_trust_score,link_reputation_score,language_type,ai_generated_score
Jaldi! Aapka Axis account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.19,0.06,Hinglish,0.85
"15 minute late, traffic mein",ham,personal,0,0.88,1.0,Hinglish,0.29
"29 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.99,1.0,Kannada,0.19
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.02,0.16,English,0.9
URGENT: Your SBI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.3,0.02,English,0.84
Working from home today,ham,personal,0,0.87,1.0,English,0.08
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.02,0.08,English,0.74
"Hey, kal dinner ke liye mil rahe? Time batao",ham,personal,0,0.92,1.0,Hinglish,0.13
Limited time: 1 kharido 1 free. Code SAVE34,promo,general_promo,0,0.65,1.0,Hinglish,0.43
"35 ನಿಮಿಷ ತಡವಾಗಿ, ಟ್ರಾಫಿಕ್ನಲ್ಲಿ",ham,personal,0,0.87,1.0,Kannada,0.23
Birthday treat: 40% off for you!,promo,general_promo,0,0.73,1.0,English,0.49
Refer a friend & get ₹50000 off,promo,general_promo,0,0.79,1.0,English,0.34
Doctor appointment confirmed for 11:45,ham,service_updates,0,0.84,1.0,English,0.27
"Hey, kal lunch ke liye mil rahe? Time batao",ham,personal,0,0.94,1.0,Hinglish,0.26
Store se medicine le aana,ham,personal,0,0.85,1.0,Hinglish,0.02
बधाई! आपने car जीता। दावा करें: http://phish-site.com,spam,general_spam,1,0.15,0.15,Hindi,0.92
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.25,0.14,English,0.77
Can you pick up medicine from the store?,ham,personal,0,0.94,1.0,English,0.16
Did you finish the presentation?,ham,personal,0,0.91,1.0,English,0.13
Refer a friend & get ₹25000 off,promo,general_promo,0,0.54,1.0,English,0.37
सीमित समय: 1 खरीदो 1 मुफ्त। कोड SAVE16,promo,general_promo,0,0.8,1.0,Hindi,0.5
Your number won car. Click to claim: http://phish-site.com,spam,prize_scams,1,0.11,0.13,English,0.83
सरकारी योजना: ₹5000 हर महीने। YES भेजें,spam,general_spam,0,0.16,1.0,Hindi,0.77
ಸ್ಟೋರ್ನಿಂದ bread ತೆಗೆದುಕೊಳ್ಳಿ,ham,personal,0,0.89,1.0,Kannada,0.24
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.24,0.19,English,0.97
Loan approve! ₹5000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.18,1.0,Hinglish,0.98
ಸರ್ಕಾರಿ ಯೋಜನೆ: ₹25000 ಪ್ರತಿ ತಿಂಗಳು. YES ಕಳುಹಿಸಿ,spam,general_spam,0,0.04,1.0,Kannada,0.86
Jaldi! Aapka SBI account suspend. Verify: http://phish-site.com,spam,financial_scams,1,0.19,0.13,Hinglish,0.79
SECURITY ALERT: Suspicious login detected. Secure account: http://phish-site.com,spam,financial_scams,1,0.18,0.13,English,0.77
Package will be delivered today between 7-12,ham,personal,0,0.86,1.0,English,0.13
Happy birthday! 🎉 See you tonight!,ham,personal,0,0.95,1.0,English,0.02
सीमित समय: 1 खरीदो 1 मुफ्त। कोड SAVE10,promo,general_promo,0,0.57,1.0,Hindi,0.56
"14 मिनट लेट, ट्रैफिक में",ham,personal,0,0.86,1.0,Hindi,0.15
Your package delivery failed. Confirm address: http://phish-site.com,spam,general_spam,1,0.01,0.1,English,0.77
Special offer: laptop at 60% discount,promo,promotional_offers,0,0.53,1.0,English,0.34
Loan approve! ₹5000 mil raha. Documents nahi. Reply YES,spam,financial_scams,0,0.18,1.0,Hinglish,0.82
ಅಭಿನಂದನೆಗಳು! ನೀವು iPhone 15 ಗೆದ್ದಿದ್ದೀರಿ. ಕ್ಲೈಮ್: http://phish-site.com,spam,general_spam,1,0.22,0.06,Kannada,0.73
Aaj meeting kab hai?,ham,personal,0,0.91,1.0,Hinglish,0.0
स्टोर से medicine ले आना,ham,personal,0,0.81,1.0,Hindi,0.13
"Hey, are we meeting for meeting today? Let me know",ham,personal,0,1.0,1.0,English,0.23
Special offer: 50% discount,promo,promotional_offers,0,0.53,1.0,Hinglish,0.53
ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ನಲ್ಲಿ 5% ಕ್ಯಾಶ್‌ಬ್ಯಾಕ್,promo,general_promo,0,0.54,1.0,Kannada,0.4
"7 minute late, traffic mein",ham,personal,0,0.83,1.0,Hinglish,0.09
क्रेडिट कार्ड पर 5% कैशबैक,promo,general_promo,0,0.64,1.0,Hindi,0.33
Sarkari yojana: ₹10000 har mahine. YES bhejo,spam,general_spam,0,0.13,1.0,Hinglish,0.74
Your OTP is 787889. Do not share,ham,service_updates,0,1.0,1.0,English,0.15
CONGRATULATIONS! You won car. Claim: http://phish-site.com,spam,prize_scams,1,0.01,0.2,English,0.97
Free ho toh call karna,ham,personal,0,0.93,1.0,Hinglish,0.24
Package will be delivered today between 10-12,ham,personal,0,0.8,1.0,English,0.22
फ्लैश सेल! watch पर 70% छूट। खरीदारी: http://secure-site.com,promo,general_promo,1,0.59,0.85,Hindi,0.31
Bank error: Extra ₹5000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.28,0.15,English,0.79
Limited time: 1 kharido 1 free. Code SAVE39,promo,general_promo,0,0.73,1.0,Hinglish,0.47
ಸೀಮಿತ ಸಮಯ: 1 ಖರೀದಿ 1 ಉಚಿತ. ಕೋಡ್ SAVE47,promo,general_promo,0,0.52,1.0,Kannada,0.51
Don't forget about lunch tomorrow at 12:52,ham,personal,0,0.88,1.0,English,0.22
Sarkari yojana: ₹50000 har mahine. YES bhejo,spam,general_spam,0,0.29,1.0,Hinglish,0.87
Early access: New arrivals now live,promo,general_promo,0,0.6,1.0,English,0.6
Doctor appointment confirmed for 4:14,ham,service_updates,0,0.97,1.0,English,0.21
Your UPI will be deactivated. Verify now: http://phish-site.com,spam,phishing_scams,1,0.02,0.16,English,0.89
Free ho toh call karna,ham,personal,0,0.97,1.0,Hinglish,0.25
Special offer: watch at 20% discount,promo,promotional_offers,0,0.53,1.0,English,0.39
Clearance sale: Limited stock available,promo,promotional_offers,0,0.62,1.0,English,0.58
Credit card par 5% cashback,promo,general_promo,0,0.51,1.0,Hinglish,0.57
Bank error: Extra ₹5000 credited. Verify: http://phish-site.com,spam,financial_scams,1,0.03,0.02,English,0.71
Weekend special: Extra 50% off. Shop: http://secure-site.com,promo,general_promo,1,0.58,0.8,English,0.56
Clearance sale: Limited stock available,promo,promotional_offers,0,0.72,1.0,English,0.58
Exclusive deal for you: 50% off,promo,general_promo,0,0.63,1.0,English,0.48
"Running 9 minutes late, stuck in traffic",ham,personal,0,0.96,1.0,English,0.04
ಎಚ್ಚರಿಕೆ: ನಿಮ್ಮ ಖಾತೆಯಲ್ಲಿ ಸಂಶಯಾಸ್ಪದ ಚಟುವಟಿಕೆ. ಕಾಲ್ +91-7104968394,spam,general_spam,0,0.09,1.0,Kannada,0.94
ಸೀಮಿತ ಸಮಯ: 1 ಖರೀದಿ 1 ಉಚಿತ. ಕೋಡ್ SAVE46,promo,general_promo,0,0.52,1.0,Kannada,0.49
Special offer: watch at 20% discount,promo,promotional_offers,0,0.7,1.0,English,0.47
See you at mall,ham,personal,0,0.92,1.0,English,0.12
URGENT: Your SBI account suspended. Verify now: http://phish-site.com,spam,financial_scams,1,0.22,0.08,English,0.77
क्रेडिट कार्ड पर 10% कैशबैक,promo,general_promo,0,0.54,1.0,Hindi,0.55
New smartphone collection launched! Use code SAVE42,promo,general_promo,0,0.64,1.0,English,0.58
Your OTP is 619573. Do not share,ham,service_updates,0,0.87,1.0,English,0.29
Refer a friend & get ₹5000 off,promo,general_promo,0,0.79,1.0,English,0.36
Free ho toh call karna,ham,personal,0,0.94,1.0,Hinglish,0.19
Tax refund of ₹50000 approved. Claim: http://phish-site.com,spam,general_spam,1,0.27,0.0,English,0.86
